lat,lon,limit,deck,direct
24.458809,118.43147,60,,南北雙向
24.411718,118.29999,50,,東西雙向
24.414368,118.30402,50,,東西雙向
24.419437,118.31088,50,,東西雙向
24.422647,118.31264,50,,東西雙向
24.417084,118.31844,50,,南北雙向
24.441479,118.32049,60,,南北雙向
24.439543,118.32067,50,,南北雙向
24.413134,118.32414,60,,東西雙向
24.435467,118.327385,50,,東西雙向
24.458384,118.36486,40,,南北雙向
24.486645,118.40696,60,,東西雙向
24.47699,118.419556,60,,東西雙向
24.446032,118.36559,70,,東西雙向
24.44133,118.370316,60,,東西雙向
24.449205,118.38353,50,,南北雙向
24.440441,118.39173,50,,東西雙向
24.440292,118.39213,50,,東西雙向
24.437878,118.4034,50,,東西雙向
24.44457,118.40811,50,,東西雙向
24.446644,118.41738,50,,南北雙向
24.419786,118.43421,50,,南北雙向
24.452068,118.303474,60,,大金往烈嶼(區間測速)
24.449041,118.309654,50,,南北雙向
24.448359,118.33072,50,,東西雙向
24.416346,118.3318,60,,東西雙向
24.440142,118.33645,60,,東西雙向
24.430235,118.337685,60,,東西雙向
24.44981,118.33837,60,,東西雙向
24.441227,118.340614,70,,東西雙向
24.4258,118.34236,60,,東西雙向
24.432312,118.34556,60,,東西雙向
24.436016,118.35565,60,,東西雙向
24.453362,118.35793,60,,東西雙向
24.44569,118.35987,70,,東西雙向
24.420683,118.23465,60,,東西雙向
24.44675,118.26236,60,,烈嶼往大金(區間測速)
24.778543,121.75933,60,,南北雙向
24.738028,121.76105,60,,南北雙向
24.71843,121.76466,50,,東西雙向
24.767035,121.770744,70,,南北雙向
24.756819,121.771355,70,,南北雙向
24.74875,121.77163,70,,南北雙向
24.749315,121.77766,60,,東西雙向
24.68059,121.76142,40,,東西雙向
24.672573,121.78949,60,,東西雙向
24.615463,121.821266,60,,南北雙向
24.490236,121.83023,40,tunnel,北上方向
24.60313,121.83417,60,,南北雙向
24.551931,121.84039,70,tunnel,南下方向
24.59536,121.84053,50,,南北雙向
24.611954,121.85278,70,,南北雙向
24.598513,121.856255,60,,南北雙向
24.590792,121.8595,60,,南北雙向
24.84562,121.79265,60,,南北雙向
24.849024,121.79389,40,,南北雙向
24.849024,121.79389,40,,南北雙向(區間測速)
24.84921,121.79603,50,,南北雙向
24.828068,121.80138,60,,南北雙向
24.824112,121.82069,60,,南北雙向
24.871765,121.83554,60,,南北雙向
24.891298,121.85049,50,,南北雙向
24.900974,121.86346,50,,南北雙向
24.906073,121.87091,60,,南北雙向
